feed_id,feed_source,template_name,mixture_size,active_components,CO2,H2,Ar,N2,CH4,O2,CO,H2S
23,Random (Dirichlet),dirichlet,5,"CO2,H2,Ar,N2,H2S",0.95,0.030107358547270712,0.0028746715383597145,0.00486770754482318,0.0,0.0,0.0,0.012150262369546432
24,Random (Dirichlet),dirichlet,5,"CO2,H2,N2,CO,H2S",0.97,3.428383788673941e-05,0.0,0.0015512801801052414,0.0,0.0,0.017580250815154814,0.010834185166853236
25,Random (Dirichlet),dirichlet,6,"CO2,Ar,N2,CH4,O2,CO",0.98,0.0,0.003154907207409615,0.00027371042705049987,0.00559022358798767,0.005056363404709171,0.005924795372843063,0.0
26,Random (Dirichlet),dirichlet,3,"CO2,H2,O2",0.96,0.004974888291300978,0.0,0.0,0.0,0.03502511170869906,0.0,0.0
27,Random (Dirichlet),dirichlet,2,"CO2,Ar",0.96,0.0,0.040000000000000036,0.0,0.0,0.0,0.0,0.0
28,Random (Dirichlet),dirichlet,3,"CO2,CH4,O2",0.96,0.0,0.0,0.0,0.024615889547125992,0.015384110452874045,0.0,0.0
29,Random (Dirichlet),dirichlet,4,"CO2,N2,CH4,O2",0.95,0.0,0.0,0.011378992734885941,0.012018458631407438,0.026602548633706674,0.0,0.0
30,Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,N2,CH4,H2S",0.95,0.0012996078951248242,0.00018625602810156742,0.01739984842045,0.007638040234912542,0.0,0.0,0.02347624742141111
31,Random (Dirichlet),dirichlet,7,"CO2,H2,Ar,N2,O2,CO,H2S",0.96,0.0035801659288709664,0.004357504806448319,0.015506376392084137,0.0,0.004298156376398828,0.007449069437914747,0.004808727058283039
32,Random (Dirichlet),dirichlet,5,"CO2,H2,Ar,N2,CO",0.97,0.002885808919266177,0.013960640639730135,0.011065237311377972,0.0,0.0,0.0020883131296257408,0.0
33,Random (Dirichlet),dirichlet,3,"CO2,H2,Ar",0.95,0.03951287510819873,0.010487124891801317,0.0,0.0,0.0,0.0,0.0
34,Random (Dirichlet),dirichlet,5,"CO2,H2,N2,O2,CO",0.97,0.002431652282826059,0.0,0.006432598546853333,0.0,0.01911201811133117,0.0020237310589894656,0.0
35,Random (Dirichlet),dirichlet,6,"CO2,H2,CH4,O2,CO,H2S",0.97,0.0006947631488706089,0.0,0.0,0.001197268704787137,0.006434251671719193,0.005831081974563953,0.015842634500059134
36,Random (Dirichlet),dirichlet,3,"CO2,H2,CO",0.99,0.0042655984366962935,0.0,0.0,0.0,0.0,0.0057344015633037145,0.0
37,Random (Dirichlet),dirichlet,7,"CO2,H2,Ar,CH4,O2,CO,H2S",0.98,0.007633703256178395,0.0012667320161528282,0.0,0.004049112537422371,9.333482668486704e-05,0.0009517019294577546,0.006005415434103804
38,Random (Dirichlet),dirichlet,5,"CO2,N2,O2,CO,H2S",0.97,0.0,0.0,0.010822879374073308,0.0,0.0026818489278387704,0.0033208921374610436,0.013174379560626904
39,Random (Dirichlet),dirichlet,5,"CO2,Ar,N2,O2,H2S",0.99,0.0,0.0035970961563696426,0.000763247402083183,0.0,0.00018904067455128556,0.0,0.005450615766995899
40,Random (Dirichlet),dirichlet,4,"CO2,H2,N2,O2",0.99,0.00786278533711319,0.0,0.0016207612250229708,0.0,0.0005164534378638456,0.0,0.0
41,Random (Dirichlet),dirichlet,4,"CO2,N2,CH4,CO",0.98,0.0,0.0,0.008994078592654756,0.006062109900073225,0.0,0.0049438115072720406,0.0
42,Random (Dirichlet),dirichlet,3,"CO2,N2,CH4",0.99,0.0,0.0,0.007165194137739571,0.002834805862260438,0.0,0.0,0.0
43,Random (Dirichlet),dirichlet,5,"CO2,H2,Ar,O2,CO",0.99,0.006562956283725658,0.00031781333162948024,0.0,0.0,0.0023071897184200204,0.0008120406662248485,0.0
44,Random (Dirichlet),dirichlet,2,"CO2,Ar",0.95,0.0,0.050000000000000044,0.0,0.0,0.0,0.0,0.0
45,Random (Dirichlet),dirichlet,6,"CO2,H2,N2,CH4,CO,H2S",0.95,0.022969654777471996,0.0,0.005373750314363836,0.007208534665549011,0.0,0.007632560612022021,0.006815499630593178
46,Random (Dirichlet),dirichlet,3,"CO2,N2,H2S",0.98,0.0,0.0,0.015391634268476327,0.0,0.0,0.0,0.0046083657315236885
47,Random (Dirichlet),dirichlet,6,"CO2,N2,CH4,O2,CO,H2S",0.99,0.0,0.0,0.0009507532960262711,0.003579521686619775,0.002546339002397929,0.0015885814288954792,0.001334804586060553
48,Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,N2,CH4,H2S",0.96,0.0059944397677285195,0.013061427837239322,0.00644549338040029,0.012985691656660723,0.0,0.0,0.0015129473579711815
49,Random (Dirichlet),dirichlet,4,"CO2,H2,N2,CO",0.97,0.007173342253108299,0.0,0.009134409654322035,0.0,0.0,0.013692248092569692,0.0
50,Random (Dirichlet),dirichlet,4,"CO2,Ar,N2,H2S",0.98,0.0,0.01062354281076268,0.006923848626903082,0.0,0.0,0.0,0.0024526085623342536
51,Random (Dirichlet),dirichlet,3,"CO2,Ar,O2",0.96,0.0,0.010095391543766166,0.0,0.0,0.029904608456233866,0.0,0.0
52,Random (Dirichlet),dirichlet,4,"CO2,Ar,N2,O2",0.99,0.0,0.0010859495300004096,0.0057577937642492175,0.0,0.0031562567057503805,0.0,0.0
53,Random (Dirichlet),dirichlet,4,"CO2,Ar,N2,CH4",0.97,0.0,0.0062738415358516,0.00812287899175296,0.015603279472395473,0.0,0.0,0.0
54,Random (Dirichlet),dirichlet,3,"CO2,Ar,O2",0.99,0.0,0.007629471311006325,0.0,0.0,0.002370528688993684,0.0,0.0
55,Random (Dirichlet),dirichlet,4,"CO2,N2,CO,H2S",0.98,0.0,0.0,0.009214765262863666,0.0,0.0,0.0055297845665669525,0.005255450170569401
56,Random (Dirichlet),dirichlet,5,"CO2,H2,N2,CH4,H2S",0.99,0.0016937129747469544,0.0,0.0007737458375916946,0.004776441961187123,0.0,0.0,0.0027560992264742375
57,Random (Dirichlet),dirichlet,3,"CO2,H2,N2",0.97,0.0027164105211791956,0.0,0.027283589478820834,0.0,0.0,0.0,0.0
58,Random (Dirichlet),dirichlet,3,"CO2,H2,H2S",0.96,0.035264139310547345,0.0,0.0,0.0,0.0,0.0,0.004735860689452691
59,Random (Dirichlet),dirichlet,4,"CO2,H2,Ar,CH4",0.97,0.014677640942777641,0.011945035370105325,0.0,0.0033773236871170623,0.0,0.0,0.0
60,Random (Dirichlet),dirichlet,4,"CO2,H2,CH4,CO",0.95,0.02362166601573268,0.0,0.0,0.0033982591601177986,0.0,0.022980074824149568,0.0
61,Random (Dirichlet),dirichlet,6,"CO2,H2,N2,CH4,O2,H2S",0.95,0.009276897525864481,0.0,0.003397881051051182,0.01089310744778102,0.012525958676293691,0.0,0.013906155299009666
62,Random (Dirichlet),dirichlet,5,"CO2,Ar,N2,O2,CO",0.98,0.0,0.0003085433857772853,0.004739402533574478,0.0,0.007828855937418083,0.00712319814323017,0.0
63,Random (Dirichlet),dirichlet,7,"CO2,H2,Ar,CH4,O2,CO,H2S",0.95,0.0023795309382164996,0.009658690519362379,0.0,0.010665077284053665,0.01690670702281164,0.0035590828918422436,0.0068309113437136195
64,Random (Dirichlet),dirichlet,6,"CO2,H2,N2,O2,CO,H2S",0.98,0.003412288714113943,0.0,0.002796466061809937,0.0,0.003585376200363178,0.008017631980303792,0.0021882370434091712
65,Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,CH4,CO,H2S",0.98,0.0025118352580720954,0.011535301799072537,0.0,0.0038586645019399526,0.0,8.684653046115513e-05,0.0020073519104542806
66,Random (Dirichlet),dirichlet,5,"CO2,Ar,CH4,CO,H2S",0.98,0.0,0.011295803627463134,0.0,0.00017935152983231952,0.0,0.006145309769068491,0.002379535073636073
67,Random (Dirichlet),dirichlet,4,"CO2,H2,CH4,H2S",0.95,0.007517796573781902,0.0,0.0,0.00849388308722829,0.0,0.0,0.03398832033898985
68,Random (Dirichlet),dirichlet,4,"CO2,H2,N2,H2S",0.98,0.01317840616837731,0.0,0.00583495537799914,0.0,0.0,0.0,0.0009866384536235675
69,Random (Dirichlet),dirichlet,4,"CO2,Ar,O2,H2S",0.97,0.0,0.015553333126614163,0.0,0.0,0.0032822117346006287,0.0,0.011164455138785237
70,Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,N2,CH4,CO",0.99,0.0018372752956942204,0.002148028573072349,0.004394090558330207,0.0009378520713865019,0.0,0.0006827535015167286,0.0
71,Random (Dirichlet),dirichlet,3,"CO2,Ar,CO",0.99,0.0,0.00768668267348813,0.0,0.0,0.0,0.002313317326511879,0.0
72,Random (Dirichlet),dirichlet,2,"CO2,O2",0.98,0.0,0.0,0.0,0.0,0.020000000000000018,0.0,0.0
73,Random (Dirichlet),dirichlet,3,"CO2,Ar,CH4",0.98,0.0,0.010294058325349775,0.0,0.009705941674650243,0.0,0.0,0.0
74,Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,O2,CO,H2S",0.98,0.0005606470691762134,0.006406843994133239,0.0,0.0,0.004152159682093217,0.007168416267137109,0.0017119329874602431
75,Random (Dirichlet),dirichlet,3,"CO2,CH4,O2",0.97,0.0,0.0,0.0,0.0004103386703441041,0.02958966132965592,0.0,0.0
76,Random (Dirichlet),dirichlet,5,"CO2,Ar,CH4,O2,CO",0.99,0.0,0.0011719562322701144,0.0,0.007006062193188067,0.00021493401455341057,0.001607047559988418,0.0
77,Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,N2,O2,CO",0.95,0.001493358012991069,0.015419065034101913,0.013099392491584745,0.0,0.007145446419236642,0.012842738042085666,0.0
78,Random (Dirichlet),dirichlet,5,"CO2,H2,N2,CH4,CO",0.96,0.009181953050151542,0.0,0.008657903311801319,0.007206702686427596,0.0,0.014953440951619575,0.0
79,Random (Dirichlet),dirichlet,3,"CO2,H2,H2S",0.98,0.004124712323514152,0.0,0.0,0.0,0.0,0.0,0.015875287676485866
80,Random (Dirichlet),dirichlet,3,"CO2,CH4,CO",0.96,0.0,0.0,0.0,0.02985569786122888,0.0,0.010144302138771162,0.0
81,Random (Dirichlet),dirichlet,5,"CO2,Ar,CH4,O2,H2S",0.98,0.0,0.004585678487128506,0.0,0.007759086295249562,0.0007687406803496026,0.0,0.006886494537272345
82,Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,CH4,O2,H2S",0.99,0.0010235293745407751,0.006131036524510819,0.0,0.0009528262616248277,0.0012342815323309671,0.0,0.0006583263069926184
83,Random (Dirichlet),dirichlet,5,"CO2,Ar,N2,CO,H2S",0.99,0.0,0.00616368321357198,0.0009654084152859863,0.0,0.0,0.0024980974567056697,0.0003728109144363726
84,Random (Dirichlet),dirichlet,5,"CO2,Ar,N2,O2,CO",0.98,0.0,0.00382631585651108,0.004520879341908993,0.0,0.003559045532061751,0.008093759269518191,0.0
85,Random (Dirichlet),dirichlet,4,"CO2,H2,Ar,CO",0.97,0.011522087874033648,0.017446789576944965,0.0,0.0,0.0,0.0010311225490214077,0.0
86,Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,N2,CH4,CO",0.97,0.005322730694031151,0.001252452705934947,0.007563510109224241,0.008471722649376213,0.0,0.007389583841433477,0.0
87,Random (Dirichlet),dirichlet,4,"CO2,N2,CO,H2S",0.96,0.0,0.0,0.010708153826525466,0.0,0.0,0.02132117315514757,0.007970673018326999
88,Random (Dirichlet),dirichlet,5,"CO2,H2,N2,CH4,H2S",0.95,0.006511901816171765,0.0,0.01795704439115626,0.023409331605051875,0.0,0.0,0.0021217221876201403
89,Random (Dirichlet),dirichlet,5,"CO2,Ar,N2,CH4,H2S",0.98,0.0,0.0018239378645859838,0.0014175967534582172,0.003262149925454114,0.0,0.0,0.013496315456501701
90,Random (Dirichlet),dirichlet,4,"CO2,Ar,O2,H2S",0.97,0.0,0.0010938904619109846,0.0,0.0,0.020699651154441136,0.0,0.008206458383647907
91,Random (Dirichlet),dirichlet,4,"CO2,Ar,N2,H2S",0.95,0.0,0.0030981792252990246,0.011732549715370391,0.0,0.0,0.0,0.03516927105933063
92,Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,CH4,O2,H2S",0.97,0.00968654615640125,0.008305417470052156,0.0,0.004631654513075654,0.0028088156972879736,0.0,0.004567566163182996
93,Random (Dirichlet),dirichlet,3,"CO2,CH4,H2S",0.95,0.0,0.0,0.0,0.028743915849843423,0.0,0.0,0.021256084150156625
94,Random (Dirichlet),dirichlet,5,"CO2,H2,Ar,CH4,H2S",0.95,0.009316666952819302,0.009791455970805621,0.0,0.01787963319194091,0.0,0.0,0.013012243884434204
95,Random (Dirichlet),dirichlet,4,"CO2,Ar,CH4,H2S",0.99,0.0,0.004881117496860004,0.0,0.001939585308706086,0.0,0.0,0.00317929719443392
96,Random (Dirichlet),dirichlet,5,"CO2,H2,Ar,CH4,CO",0.97,0.003977910965391177,0.0004153495355786593,0.0,0.003573520642098324,0.0,0.02203321885693187,0.0
97,Random (Dirichlet),dirichlet,3,"CO2,O2,H2S",0.98,0.0,0.0,0.0,0.0,0.015121344057986923,0.0,0.004878655942013097
98,Random (Dirichlet),dirichlet,3,"CO2,H2,Ar",0.97,0.014141653676509198,0.015858346323490827,0.0,0.0,0.0,0.0,0.0
99,Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,CH4,O2,CO",0.96,0.006162792002605312,0.00044836680298236605,0.0,0.006253776525887284,0.01113106948089571,0.016003995187629363,0.0
100,Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,CH4,CO,H2S",0.96,0.006282122950178013,0.0035709101038702363,0.0,0.021415583983279116,0.0,0.0051726082773008945,0.003558774685371776
101,Random (Dirichlet),dirichlet,4,"CO2,H2,CH4,O2",0.97,0.005903047771284291,0.0,0.0,0.0016285575981923835,0.022468394630523355,0.0,0.0
102,Random (Dirichlet),dirichlet,4,"CO2,H2,N2,CO",0.99,0.0025470400397095607,0.0,0.004605360666278296,0.0,0.0,0.0028475992940121524,0.0
103,Random (Dirichlet),dirichlet,5,"CO2,Ar,N2,O2,CO",0.96,0.0,0.02760094044387361,0.0017777315913883652,0.0,0.005738787048485316,0.004882540916252745,0.0
104,Random (Dirichlet),dirichlet,6,"CO2,H2,N2,CH4,O2,CO",0.96,0.005102731499201731,0.0,0.0012572679226178281,0.012569279704644535,0.0073683057771778615,0.013702415096358085,0.0
105,Random (Dirichlet),dirichlet,4,"CO2,Ar,CH4,CO",0.95,0.0,0.008143339095390693,0.0,0.0062888022755783245,0.0,0.035567858629031036,0.0
106,Random (Dirichlet),dirichlet,4,"CO2,Ar,O2,H2S",0.99,0.0,0.0015246070097184694,0.0,0.0,0.0031139917640821764,0.0,0.005361401226199362
107,Random (Dirichlet),dirichlet,5,"CO2,H2,N2,CH4,H2S",0.95,0.013485335998783767,0.0,0.007847975577551763,0.02028429031651153,0.0,0.0,0.00838239810715298
108,Random (Dirichlet),dirichlet,6,"CO2,Ar,CH4,O2,CO,H2S",0.96,0.0,0.00690030998597701,0.0,0.006056326126637498,0.008083682372826877,0.007802993984420659,0.011156687530137991
109,Random (Dirichlet),dirichlet,4,"CO2,H2,O2,CO",0.97,0.0055444959501170414,0.0,0.0,0.0,0.007625685067469742,0.01682981898241324,0.0
110,Random (Dirichlet),dirichlet,4,"CO2,Ar,N2,O2",0.98,0.0,0.01194703365333493,0.006758083555542747,0.0,0.0012948827911223406,0.0,0.0
111,Random (Dirichlet),dirichlet,3,"CO2,H2,N2",0.99,0.0036268777217804997,0.0,0.006373122278219508,0.0,0.0,0.0,0.0
112,Random (Dirichlet),dirichlet,5,"CO2,H2,Ar,N2,O2",0.99,0.007692900410675349,0.0003029887775144365,0.0005693537043341631,0.0,0.0014347571074760626,0.0,0.0
113,Random (Dirichlet),dirichlet,7,"CO2,H2,N2,CH4,O2,CO,H2S",0.98,0.006432537493477103,0.0,0.0036782998235802182,0.007187565712040265,0.000414935189446965,0.0011162468161313745,0.0011704149653240946
114,Random (Dirichlet),dirichlet,7,"CO2,H2,Ar,N2,CH4,CO,H2S",0.95,0.015139218460784394,0.007231599976613706,0.0039169509659042175,0.00433989546587667,0.0,0.004854812063536354,0.014517523067284703
115,Random (Dirichlet),dirichlet,4,"CO2,Ar,CO,H2S",0.95,0.0,0.005882566717499514,0.0,0.0,0.0,0.03962535276379479,0.004492080518705745
116,Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,N2,O2,CO",0.99,0.0021850508518288007,0.005338611381447798,0.0004205475950273557,0.0,0.0019932148539439244,6.257531775212981e-05,0.0
117,Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,N2,CH4,H2S",0.97,0.016221888511257283,0.007620163290985175,0.005012768686527816,2.354478843713638e-05,0.0,0.0,0.0011216347227926133
118,Random (Dirichlet),dirichlet,4,"CO2,Ar,O2,H2S",0.97,0.0,0.017379808067244828,0.0,0.0,0.007316149714773999,0.0,0.005304042217981202
119,Random (Dirichlet),dirichlet,3,"CO2,CH4,O2",0.96,0.0,0.0,0.0,0.0062493424256094,0.033750657574390636,0.0,0.0
120,Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,CH4,O2,CO",0.98,0.0015088506029907647,0.010546437652272598,0.0,0.003941746969370376,0.0029379432692995784,0.0010650215060667018,0.0
121,Random (Dirichlet),dirichlet,3,"CO2,N2,CH4",0.95,0.0,0.0,0.008752336965285044,0.041247663034715,0.0,0.0,0.0
122,Random (Dirichlet),dirichlet,5,"CO2,Ar,N2,CH4,CO",0.99,0.0,0.0012682098799802106,0.005737871659732967,1.2183446890114908e-05,0.0,0.0029817350133967157,0.0
123,Random (Dirichlet),dirichlet,5,"CO2,H2,CH4,O2,H2S",0.98,0.004914679593876421,0.0,0.0,0.008427525073904008,0.004296080540413631,0.0,0.0023617147918059567
124,Random (Dirichlet),dirichlet,5,"CO2,H2,Ar,N2,O2",0.99,0.0026792175221520068,0.0004326036993603492,0.004633233609925926,0.0,0.0022549451685617275,0.0,0.0
125,Random (Dirichlet),dirichlet,4,"CO2,H2,Ar,CO",0.99,0.0029912516766255007,0.00043883648286921197,0.0,0.0,0.0,0.006569911840505296,0.0
126,Random (Dirichlet),dirichlet,6,"CO2,N2,CH4,O2,CO,H2S",0.98,0.0,0.0,0.0044639751415362465,0.004932765477081433,0.0027319501221252864,0.00510126570098378,0.00277004355827327
127,Random (Dirichlet),dirichlet,5,"CO2,N2,CH4,O2,H2S",0.96,0.0,0.0,0.015574643804929619,0.015674216579828877,0.004666570000530431,0.0,0.004084569614711104
128,Random (Dirichlet),dirichlet,4,"CO2,Ar,CH4,O2",0.98,0.0,0.008011179587986745,0.0,0.0020849020108997768,0.009903918401113494,0.0,0.0
129,Random (Dirichlet),dirichlet,4,"CO2,Ar,CH4,O2",0.99,0.0,0.0014543640981256702,0.0,0.005404840360236992,0.0031407955416373453,0.0,0.0
130,Random (Dirichlet),dirichlet,4,"CO2,H2,CO,H2S",0.98,0.006239951113579256,0.0,0.0,0.0,0.0,0.009497637027141919,0.004262411859278843
131,Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,CH4,O2,CO",0.96,0.002110267237408768,0.0158291083709709,0.0,0.007067718775011134,0.011216892737150751,0.0037760128794584774,0.0
132,Random (Dirichlet),dirichlet,4,"CO2,Ar,CH4,O2",0.97,0.0,0.005578656097585894,0.0,0.02094848526687564,0.003472858635538494,0.0,0.0
133,Random (Dirichlet),dirichlet,6,"CO2,Ar,N2,CH4,CO,H2S",0.95,0.0,0.0017844112134537194,0.001648773170219059,0.0038789778636808187,0.0,0.018741811210111575,0.02394602654253487
134,Random (Dirichlet),dirichlet,5,"CO2,H2,Ar,CO,H2S",0.99,0.0036905482528231098,0.005409307707893302,0.0,0.0,0.0,0.000729688030370321,0.0001704560089132756
135,Random (Dirichlet),dirichlet,2,"CO2,H2",0.96,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0
136,Random (Dirichlet),dirichlet,7,"CO2,Ar,N2,CH4,O2,CO,H2S",0.97,0.0,0.001167409702667329,0.004639025006447243,0.003621056917202391,0.006371534619456812,0.007090849650990009,0.007110124103236247
137,Random (Dirichlet),dirichlet,8,"CO2,H2,Ar,N2,CH4,O2,CO,H2S",0.95,0.005904637517456896,7.006478874123759e-05,0.0013053452408773843,0.006805048565342934,0.009338128061037159,0.01580943567294856,0.010767340153595876
138,Random (Dirichlet),dirichlet,3,"CO2,CH4,H2S",0.98,0.0,0.0,0.0,0.010647521470602635,0.0,0.0,0.00935247852939738
139,Random (Dirichlet),dirichlet,4,"CO2,H2,N2,O2",0.96,0.03066440941029618,0.0,0.006726537138353574,0.0,0.002609053451350278,0.0,0.0
140,Random (Dirichlet),dirichlet,4,"CO2,Ar,N2,CO",0.99,0.0,0.003332250495001695,0.00073671849482483,0.0,0.0,0.0059310310101734825,0.0
141,Random (Dirichlet),dirichlet,5,"CO2,CH4,O2,CO,H2S",0.97,0.0,0.0,0.0,0.0019045475381572312,0.0033167253715578864,0.015517926648075322,0.009260800442209586
142,Random (Dirichlet),dirichlet,6,"CO2,H2,CH4,O2,CO,H2S",0.97,0.0019158282131871845,0.0,0.0,0.0034293391160573313,0.006094123106442775,0.0020715868139463984,0.01648912275036634
143,Random (Dirichlet),dirichlet,7,"CO2,H2,N2,CH4,O2,CO,H2S",0.99,0.0027227683625046,0.0,0.002424929913409889,0.0013554169268014094,0.0007042807614354655,0.0012117471184128286,0.0015808569174358173
144,Random (Dirichlet),dirichlet,7,"CO2,H2,N2,CH4,O2,CO,H2S",0.97,0.0004507401677271888,0.0,0.0010083957297664999,0.0018162962638101244,0.009004935990198967,0.004700602523284035,0.013019029325213212
145,Random (Dirichlet),dirichlet,6,"CO2,Ar,N2,O2,CO,H2S",0.95,0.0,0.018929974405531562,0.002267648560185425,0.0,0.012713368761831895,0.014613630801713821,0.0014753774707373449
146,Random (Dirichlet),dirichlet,3,"CO2,H2,CO",0.96,0.03987124504166497,0.0,0.0,0.0,0.0,0.000128754958335069,0.0
147,Random (Dirichlet),dirichlet,5,"CO2,Ar,N2,O2,H2S",0.99,0.0,0.0026983440188768945,0.0005701444918470743,0.0,0.0046601815209024,0.0,0.0020713299683736397
148,Random (Dirichlet),dirichlet,3,"CO2,Ar,O2",0.95,0.0,0.004965735789660735,0.0,0.0,0.04503426421033931,0.0,0.0
149,Random (Dirichlet),dirichlet,5,"CO2,H2,Ar,N2,CH4",0.99,0.001513933261848305,0.002006070439579832,0.0003489438783310535,0.006131052420240817,0.0,0.0,0.0
150,Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,N2,CH4,O2",0.95,0.006411230434384409,0.011676769460083548,0.018109894648371906,0.0001321768876407143,0.013669928569519464,0.0,0.0
151,Random (Dirichlet),dirichlet,7,"CO2,H2,Ar,N2,CH4,CO,H2S",0.95,0.009922084964730614,0.01611551281828834,0.005405247458645829,2.9938353716746123e-05,0.0,0.01420509814908964,0.004322118255528871
152,Random (Dirichlet),dirichlet,2,"CO2,H2",0.99,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0
153,Random (Dirichlet),dirichlet,2,"CO2,N2",0.99,0.0,0.0,0.010000000000000009,0.0,0.0,0.0,0.0
154,Random (Dirichlet),dirichlet,3,"CO2,CO,H2S",0.97,0.0,0.0,0.0,0.0,0.0,0.020441145532564983,0.00955885446743504
155,Random (Dirichlet),dirichlet,4,"CO2,H2,Ar,N2",0.98,0.006108887377037426,0.013480074148284471,0.00041103847467812034,0.0,0.0,0.0,0.0
156,Random (Dirichlet),dirichlet,6,"CO2,H2,Ar,CH4,O2,CO",0.96,0.010863024327559482,0.01658547222212069,0.0,0.004644983153094287,0.0075793865089179065,0.0003271337883076689,0.0
